question,answer1,answer2,answer3,answer4,correctAnswer
What is longest river in Srilanka,Kelani,Nilwala,Mahaweli,Kalu,3
What is most populated district in Srilanka,Gampaha,Kandy,Colombo,Matara,2
Who is the inventor of DC current,Tesla,Edison,Marconi,JJ Thompson,2
Who is the inventor of AC current,Tesla,Edison,Marconi,JJ Thompson,1
What is the smallest partical of Matter,cell,electron,positron,atom,4
Select the Semi conducting material,C,Si,Ca,Na,2
Who is the founder of radio activity,Tesla,Bequaral,Marie Curie,JJ Thompson,2
Unit of meassurement of Force,N,m,l,Kg,1
Highest mountain of the world,Everest,Alps,Himalayan,Piduruthalagala,1
Natural Harbour in Srilanka,Hambantota,Trincomalee,Colombo,Beruwala,2
Winner of the FIFA world cup 2022,France,Argentina,Brazil,Croatia,2
Largest ocean of the world,Indian,Pacific,Atlantic,Arctic,2
Largest Island of the world,England,Icelnd,Greenland,Madagascar,2
Alaska Belongs to,Canada,USA,Denmark,Finland,2
Select the radio active element,Na,Ca,Ar,Rh,4
Highest point of srilankan railway line,Pattipola,Nanuoya,Diyathalawa,Ohiya,1
White Ball cricket captain of Srilanka,Dananjaya,Kusal Mendis,Dasun,wanindu,3
Who is the best Tea supplier of the world,India,Srilanka,China,Russia,2
Who is the leading wicket taker in IPL 2022,Zampa,Chahal,Wanindu,Rashid Khan,2
Who is the leading wicket taker in T20 world cup 2022,Zampa,Chahal,Wanindu,Rashid Khan,3
Deepest ocean of the world,Indian,Pacific,Atlantic,Arctic,2
Most populated country of the world,USA,China,India,Japan,3
Population of the world,7.8B,7.6B,6B,8.1B,1
Most viewed song of the youtube,Shape of you,Despacito,Perfect,See you again,2
Capital of India, New Delhi,Mumbai,Kolkata,Chennai,1